End-Date,Value
9/2/13,3.887
9/9/13,3.954
9/16/13,4.098
9/23/13,4.079
9/30/13,4.015
10/7/13,3.971
10/14/13,3.936
10/21/13,3.901
10/28/13,3.852
11/4/13,3.778
11/11/13,3.708
11/18/13,3.653
11/25/13,3.626
12/2/13,3.633
12/9/13,3.635
12/16/13,3.629
12/23/13,3.654
12/30/13,3.708
1/6/14,3.72
1/13/14,3.707
1/20/14,3.673
1/27/14,3.671
2/3/14,3.675
2/10/14,3.682
2/17/14,3.745
2/24/14,3.824
3/3/14,3.908
3/10/14,3.965
3/17/14,4.017
3/24/14,4.024
3/31/14,4.052
4/7/14,4.086
4/14/14,4.186
4/21/14,4.228
4/28/14,4.314
5/5/14,4.309
5/12/14,4.241
5/19/14,4.249
5/26/14,4.228
6/2/14,4.217
6/9/14,4.204
6/16/14,4.196
6/23/14,4.182
6/30/14,4.21
7/7/14,4.203
7/14/14,4.156
7/21/14,4.11
7/28/14,4.075
8/4/14,4.053
8/11/14,4.011
8/18/14,3.991
8/25/14,3.98
9/1/14,3.96
9/8/14,3.912
9/15/14,3.88
9/22/14,3.848
9/29/14,3.81
10/6/14,3.773
10/13/14,3.694
10/20/14,3.593
10/27/14,3.485
11/3/14,3.421
11/10/14,3.338
11/17/14,3.256
11/24/14,3.191
12/1/14,3.175
12/8/14,3.079
12/15/14,2.985
12/22/14,2.875
12/29/14,2.806
1/5/15,2.799
1/12/15,2.698
1/19/15,2.624
1/26/15,2.59
2/2/15,2.589
2/9/15,2.732
2/16/15,2.834
2/23/15,2.952
3/2/15,3.457
3/9/15,3.49
3/16/15,3.412
3/23/15,3.331
3/30/15,3.283
4/6/15,3.231
4/13/15,3.202
4/20/15,3.248
4/27/15,3.489
5/4/15,3.783
5/11/15,3.75
5/18/15,3.771
5/25/15,3.734
6/1/15,3.676
6/8/15,3.619
6/15/15,3.573
6/22/15,3.546
6/29/15,3.521
7/6/15,3.521
7/13/15,3.605
7/20/15,3.615
7/27/15,3.607
8/3/15,3.571
8/10/15,3.478
8/17/15,3.485
8/24/15,3.383
8/31/15,3.293
9/7/15,3.232
9/14/15,3.14
9/21/15,3.06
9/28/15,3.028
10/5/15,2.991
10/12/15,2.966
10/19/15,2.936
10/26/15,2.91
11/2/15,2.881
11/9/15,2.892
11/16/15,2.867
11/23/15,2.805
11/30/15,2.79
12/7/15,2.734
12/14/15,2.717
12/21/15,2.768
12/28/15,2.793
1/4/16,2.806
1/11/16,2.791
1/18/16,2.701
1/25/16,2.649
2/1/16,2.587
2/8/16,2.537
2/15/16,2.488
2/22/16,2.447
2/29/16,2.452
3/7/16,2.505
3/14/16,2.645
3/21/16,2.721
3/28/16,2.847
4/4/16,2.856
4/11/16,2.836
4/18/16,2.879
4/25/16,2.889
5/2/16,2.908
5/9/16,2.909
5/16/16,2.938
5/23/16,2.937
5/30/16,2.941
6/6/16,2.947
6/13/16,2.991
6/20/16,2.978
6/27/16,3.001
7/4/16,3.007
7/11/16,2.987
7/18/16,2.974
7/25/16,2.922
8/1/16,2.843
8/8/16,2.797
8/15/16,2.762
8/22/16,2.811
8/29/16,2.809